reynolds_number,angle_of_attack,cl,cd,cm,cl_cd_ratio,airfoil_name,airfoil_file
100000.0,-8,[-0.94623859],[0.03832975],[0.00428072],[-24.68679012],spec_01,spec_01.dat
100000.0,-6,[-0.67619953],[0.03410183],[-0.01233953],[-19.82883585],spec_01,spec_01.dat
100000.0,-4,[-0.44604011],[0.03136484],[-0.01303748],[-14.2210219],spec_01,spec_01.dat
100000.0,-2,[-0.18557866],[0.0276581],[-0.0135106],[-6.70974069],spec_01,spec_01.dat
100000.0,0,[0.06386362],[0.02452162],[-0.01153553],[2.60437977],spec_01,spec_01.dat
100000.0,2,[0.31884755],[0.02444374],[-0.01210393],[13.04413659],spec_01,spec_01.dat
100000.0,4,[0.72784828],[0.02854691],[-0.04900453],[25.49657358],spec_01,spec_01.dat
100000.0,6,[1.08852507],[0.03134117],[-0.08052423],[34.73147666],spec_01,spec_01.dat
100000.0,8,[1.12642157],[0.03266944],[-0.04970936],[34.47936472],spec_01,spec_01.dat
100000.0,10,[1.13843353],[0.03655302],[-0.01444721],[31.14471715],spec_01,spec_01.dat
500000.0,-8,[-0.32934296],[0.01353241],[-0.11208654],[-24.33733862],spec_01,spec_01.dat
500000.0,-6,[-0.17681572],[0.0119921],[-0.09967732],[-14.74434628],spec_01,spec_01.dat
500000.0,-4,[-0.06707593],[0.01108288],[-0.07663811],[-6.05221378],spec_01,spec_01.dat
500000.0,-2,[0.02770517],[0.01056226],[-0.04939169],[2.62303409],spec_01,spec_01.dat
500000.0,0,[0.12509015],[0.01046795],[-0.02185151],[11.9498236],spec_01,spec_01.dat
500000.0,2,[0.23132775],[0.01061456],[0.0037953],[21.79343859],spec_01,spec_01.dat
500000.0,4,[0.34656445],[0.01101098],[0.02664249],[31.47443862],spec_01,spec_01.dat
500000.0,6,[0.61811265],[0.01342447],[0.01303207],[46.043714],spec_01,spec_01.dat
500000.0,8,[0.90611548],[0.01733836],[-0.00775351],[52.26075085],spec_01,spec_01.dat
500000.0,10,[1.07763221],[0.02151089],[-0.00798645],[50.09705376],spec_01,spec_01.dat
1000000.0,-8,[-0.3482284],[0.01079188],[-0.10931882],[-32.26762804],spec_01,spec_01.dat
1000000.0,-6,[-0.226004],[0.00990755],[-0.08997304],[-22.81128137],spec_01,spec_01.dat
1000000.0,-4,[-0.12084644],[0.00935618],[-0.06556987],[-12.91621487],spec_01,spec_01.dat
1000000.0,-2,[-0.01691969],[0.00897958],[-0.03944753],[-1.8842406],spec_01,spec_01.dat
1000000.0,0,[0.09444717],[0.00885347],[-0.0149925],[10.66781793],spec_01,spec_01.dat
1000000.0,2,[0.22167455],[0.00905627],[0.0061006],[24.47747434],spec_01,spec_01.dat
1000000.0,4,[0.35491594],[0.00948347],[0.02480043],[37.42469912],spec_01,spec_01.dat
